Discovered 3965 test files (~42342 tests) under ['tests']; running with -j 8
[  0.0% |     4/~42342 | ✓4 | ✗0] ✓ tests/acp/test_auth.py (4✓, 2.6s)
[  0.0% |    11/~42342 | ✓11 | ✗ 0] ✓ tests/acp/test_events.py (7✓, 2.6s)
[  0.0% |    17/~42342 | ✓17 | ✗ 0] ✓ tests/acp/test_permissions.py (6✓, 3.1s)
[  0.0% |    21/~42342 | ✓21 | ✗ 0] ✓ tests/acp/test_entry.py (4✓, 3.1s)
[  0.1% |    26/~42342 | ✓26 | ✗ 0] ✓ tests/acp/test_approval_isolation.py (5✓, 3.2s)
[  0.1% |    37/~42342 | ✓37 | ✗ 0] ✓ tests/acp/test_named_provider_catalogs.py (11✓, 4.0s)
[  0.1% |    41/~42342 | ✓41 | ✗ 0] ✓ tests/acp/test_edit_approval.py (4✓, 4.4s)
[  0.1% |    44/~42342 | ✓46 | ✗ 0] ✓ tests/acp/test_ping_suppression.py (5✓, 2.5s)
[  0.2% |    67/~42342 | ✓69 | ✗ 0] ✓ tests/acp/test_tools.py (23✓, 2.7s)
[  0.2% |    74/~42342 | ✓76 | ✗ 0] ✓ tests/acp/test_mcp_e2e.py (7✓, 7.2s)
[  0.2% |    78/~42342 | ✓80 | ✗ 0] ✓ tests/acp/test_session_provenance.py (4✓, 4.2s)
[  0.2% |    82/~42342 | ✓84 | ✗ 0] ✓ tests/acp_adapter/test_acp_images.py (4✓, 2.8s)
[  0.2% |    90/~42342 | ✓92 | ✗ 0] ✓ tests/acp/test_session_db_private_access.py (8✓, 5.3s)
[  0.2% |    93/~42342 | ✓95 | ✗ 0] ✓ tests/acp_adapter/test_acp_commands.py (3✓, 4.3s)
[  0.2% |    94/~42342 | ✓96 | ✗ 0] ✓ tests/acp_adapter/test_acp_logging_redaction.py (1✓, 2.1s)
[  0.2% |    97/~42342 | ✓99 | ✗ 0] ✓ tests/acp_adapter/test_detect_provider_entra.py (3✓, 2.2s)
[  0.2% |    99/~42342 | ✓101 | ✗  0] ✓ tests/agent/lsp/test_backend_gate.py (2✓, 2.3s)
[  0.2% |   102/~42342 | ✓104 | ✗  0] ✓ tests/agent/lsp/test_broken_set.py (3✓, 2.2s)
[  0.3% |   106/~42342 | ✓108 | ✗  0] ✓ tests/acp_adapter/test_acp_mcp_discovery.py (4✓, 3.9s)
[  0.3% |   110/~42342 | ✓113 | ✗  0] ✓ tests/agent/lsp/test_client_e2e.py (5✓, 2.4s)
[  0.3% |   116/~42342 | ✓119 | ✗  0] ✓ tests/agent/lsp/test_delta_key.py (6✓, 2.2s)
[  0.3% |   122/~42342 | ✓125 | ✗  0] ✓ tests/agent/lsp/test_eventlog.py (6✓, 2.3s)
[  0.3% |   126/~42342 | ✓129 | ✗  0] ✓ tests/agent/lsp/test_diagnostics_field.py (4✓, 2.9s)
[  0.3% |   143/~42342 | ✓146 | ✗  0] ✓ tests/acp/test_session.py (17✓, 9.7s)
[  0.3% |   148/~42342 | ✓150 | ✗  0] ✓ tests/agent/lsp/test_install_and_lint_fixes.py (4✓ 1s, 2.4s)
[  0.4% |   151/~42342 | ✓153 | ✗  0] ✓ tests/agent/lsp/test_powershell_server.py (3✓, 2.1s)
[  0.4% |   154/~42342 | ✓156 | ✗  0] ✓ tests/agent/lsp/test_lifecycle.py (3✓, 2.2s)
[  0.4% |   156/~42342 | ✓158 | ✗  0] ✓ tests/agent/lsp/test_multi_root.py (2✓, 2.2s)
[  0.4% |   162/~42342 | ✓164 | ✗  0] ✓ tests/agent/lsp/test_protocol.py (6✓, 2.4s)
[  0.4% |   167/~42342 | ✓169 | ✗  0] ✓ tests/agent/lsp/test_reporter.py (5✓, 2.5s)
[  0.4% |   172/~42342 | ✓175 | ✗  0] ✓ tests/agent/lsp/test_service.py (6✓, 2.7s)
[  0.4% |   177/~42342 | ✓180 | ✗  0] ✓ tests/agent/lsp/test_workspace.py (5✓, 2.3s)
[  0.4% |   188/~42342 | ✓191 | ✗  0] ✓ tests/agent/test_413_image_payload_recovery.py (11✓, 2.5s)
[  0.5% |   193/~42342 | ✓198 | ✗  0] ✓ tests/agent/lsp/test_shell_linter_lsp_skip.py (7✓, 2.8s)
[  0.5% |   223/~42342 | ✓228 | ✗  0] ✓ tests/acp/test_server.py (30✓, 13.7s)
[  0.5% |   232/~42342 | ✓237 | ✗  0] ✓ tests/agent/test_account_usage.py (9✓, 2.2s)
